Sum of runs_off_bat,Column Labels,,,,,,,,,,,,,
Player,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A Ashish Reddy,0,0,0,0,35,160,160,233,280,280,280,280,280,280
A Chandila,0,0,0,0,0,4,4,4,4,4,4,4,4,4
A Chopra,42,53,53,53,53,53,53,53,53,53,53,53,53,53
A Choudhary,0,0,0,0,0,0,0,0,0,25,25,25,25,25
A Dananjaya,0,0,0,0,0,0,0,0,0,0,4,4,4,4
A Flintoff,0,62,62,62,62,62,62,62,62,62,62,62,62,62
A Kumble,13,29,35,35,35,35,35,35,35,35,35,35,35,35
A Mishra,37,63,102,170,186,275,279,287,291,340,341,362,362,362
A Mithun,0,0,5,32,32,34,34,34,34,34,34,34,34,34
A Mukund,0,0,0,0,0,19,19,19,19,19,19,19,19,19
A Nehra,3,4,27,27,38,39,39,40,41,41,41,41,41,41
A Nortje,0,0,0,0,0,0,0,0,0,0,0,0,7,7
A Singh,0,1,1,2,2,2,2,2,2,2,2,2,2,2
A Symonds,161,410,839,974,974,974,974,974,974,974,974,974,974,974
A Uniyal,0,0,4,4,4,4,4,4,4,4,4,4,4,4
A Zampa,0,0,0,0,0,0,0,0,0,5,5,5,5,5
AA Bilakhia,0,67,69,69,69,69,69,69,69,69,69,69,69,69
AA Chavan,0,0,0,1,12,12,12,12,12,12,12,12,12,12
AA Jhunjhunwala,0,0,183,193,217,217,217,217,217,217,217,217,217,217
AA Noffke,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AB Agarkar,54,120,160,167,167,179,179,179,179,179,179,179,179,179
AB Barath,0,0,42,42,42,42,42,42,42,42,42,42,42,42
AB de Villiers,95,560,671,983,1302,1675,2070,2583,3270,3486,3966,4408,4868,5181
AB Dinda,2,4,4,4,6,15,19,19,19,26,26,26,26,26
AB McDonald,0,3,68,76,123,123,123,123,123,123,123,123,123,123
Abdul Samad,0,0,0,0,0,0,0,0,0,0,0,0,113,224
Abdur Razzak,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Sharma,0,0,0,0,0,0,0,0,0,0,63,72,143,241
AC Blizzard,0,0,0,120,120,120,120,120,120,120,120,120,120,120
AC Gilchrist,436,931,1220,1603,1775,2069,2069,2069,2069,2069,2069,2069,2069,2069
